,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
0,04A,"Lik, AK",OTZ,"Kotzebue, AK",192.0
1,04A,"Lik, AK",WTK,"Noatak, AK",46.0
2,05A,"Little Squaw, AK",FAI,"Fairbanks, AK",67.4
3,06A,"Kizhuyak, AK",ADQ,"Kodiak, AK",19.5
4,08A,"Elizabeth Island, AK",KEB,"Nanwalek, AK",8.0
5,1B1,"Hudson, NY",FOK,"Westhampton, NY",42.0
6,1B1,"Hudson, NY",HTO,"East Hampton, NY",42.0
7,1G4,"Peach Springs, AZ",1G4,"Peach Springs, AZ",22.0
8,1G4,"Peach Springs, AZ",DQS,"Whitmore, AZ",44.0
9,1G4,"Peach Springs, AZ",GCN,"Grand Canyon, AZ",51.5
10,1G4,"Peach Springs, AZ",L41,"Marble Canyon, AZ",36.5
11,1G4,"Peach Springs, AZ",VGT,"Las Vegas, NV",1854.5
12,A02,"Deadmans Bay, AK",ADQ,"Kodiak, AK",44.0
13,A02,"Deadmans Bay, AK",KMY,"Moser Bay, AK",11.0
14,A02,"Deadmans Bay, AK",KOY,"Olga Bay, AK",14.0
15,A03,"Hallo Bay, AK",HOM,"Homer, AK",2529.25
16,A03,"Hallo Bay, AK",SOV,"Seldovia, AK",63.0
17,A03,"Hallo Bay, AK",SWD,"Seward, AK",48.0
18,A04,"Red Lake, AK",KOY,"Olga Bay, AK",136.0
19,A07,"Selawik, AK",OME,"Nome, AK",74.0
20,A07,"Selawik, AK",ORV,"Noorvik, AK",9.0
21,A07,"Selawik, AK",OTZ,"Kotzebue, AK",55.5
22,A07,"Selawik, AK",RLU,"Bornite/Ruby Creek, AK",31.0
23,A07,"Selawik, AK",WLK,"Selawik, AK",5.0
24,A23,"Bradley Lake, AK",HOM,"Homer, AK",87.0
25,A27,"Pogo Mines, AK",FAI,"Fairbanks, AK",154.86
26,A29,"Kiluda Bay, AK",ADQ,"Kodiak, AK",48.17
27,A29,"Kiluda Bay, AK",ALZ,"Lazy Bay, AK",36.0
28,A29,"Kiluda Bay, AK",KOY,"Olga Bay, AK",47.0
29,A37,"Kako, AK",KSM,"St, Mary's, AK",38.0
30,A40,"Cape Simpson, AK",BRW,"Barrow, AK",23.0
31,A52,"Silver Salmon Creek, AK",HOM,"Homer, AK",138.0
32,A57,"International Seafoods, AK",A57,"International Seafoods, AK",22.0
33,A57,"International Seafoods, AK",AKN,"King Salmon, AK",614.0
34,A57,"International Seafoods, AK",BSZ,"Bartletts, AK",14.25
35,A57,"International Seafoods, AK",CFA,"Coffee Point, AK",5.25
36,A57,"International Seafoods, AK",EGX,"Egegik, AK",17.57
37,A57,"International Seafoods, AK",NNK,"Naknek, AK",21.0
38,A57,"International Seafoods, AK",PIP,"Pilot Point, AK",44.5
39,A57,"International Seafoods, AK",PML,"Port Moller, AK",106.0
40,A57,"International Seafoods, AK",WSN,"South Naknek, AK",16.0
41,A63,"Yukon Charley Rivvers, AK",EAA,"Eagle, AK",23.0
42,A63,"Yukon Charley Rivvers, AK",FAI,"Fairbanks, AK",52.0
43,A83,"Petrof Point, AK",HOM,"Homer, AK",78.73
44,AA7,"Independence Creek, AK",OTZ,"Kotzebue, AK",142.0
45,AA8,"Deadhorse, AK",ANC,"Anchorage, AK",182.0
46,AA8,"Deadhorse, AK",SCC,"Deadhorse, AK",63.17
47,ABE,"Allentown/Bethlehem/Easton, PA",ALB,"Albany, NY",34.0
48,ABE,"Allentown/Bethlehem/Easton, PA",ALO,"Waterloo, IA",140.0
49,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",3937.68
50,ABE,"Allentown/Bethlehem/Easton, PA",AVP,"Scranton/Wilkes-Barre, PA",342.94
51,ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN",108.0
52,ABE,"Allentown/Bethlehem/Easton, PA",CAE,"Columbia, SC",120.33
53,ABE,"Allentown/Bethlehem/Easton, PA",CHA,"Chattanooga, TN",125.5
54,ABE,"Allentown/Bethlehem/Easton, PA",CHS,"Charleston, SC",208.0
55,ABE,"Allentown/Bethlehem/Easton, PA",CLE,"Cleveland, OH",86.4
56,ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC",1726.37
57,ABE,"Allentown/Bethlehem/Easton, PA",CSG,"Columbus, GA",136.0
58,ABE,"Allentown/Bethlehem/Easton, PA",DCA,"Washington, DC",37.0
59,ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI",3470.46
60,ABE,"Allentown/Bethlehem/Easton, PA",ERI,"Erie, PA",75.0
61,ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ",69.13
62,ABE,"Allentown/Bethlehem/Easton, PA",FAR,"Fargo, ND",162.5
63,ABE,"Allentown/Bethlehem/Easton, PA",FLL,"Fort Lauderdale, FL",1897.8
64,ABE,"Allentown/Bethlehem/Easton, PA",FWA,"Fort Wayne, IN",130.5
65,ABE,"Allentown/Bethlehem/Easton, PA",GRB,"Green Bay, WI",132.0
66,ABE,"Allentown/Bethlehem/Easton, PA",GRR,"Grand Rapids, MI",135.0
67,ABE,"Allentown/Bethlehem/Easton, PA",GSO,"Greensboro/High Point, NC",97.0
68,ABE,"Allentown/Bethlehem/Easton, PA",GSP,"Greer, SC",123.0
69,ABE,"Allentown/Bethlehem/Easton, PA",HPN,"White Plains, NY",35.8
70,ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC",4131.0
71,ABE,"Allentown/Bethlehem/Easton, PA",ICT,"Wichita, KS",162.0
72,ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN",1035.68
73,ABE,"Allentown/Bethlehem/Easton, PA",JFK,"New York, NY",53.21
74,ABE,"Allentown/Bethlehem/Easton, PA",LEX,"Lexington, KY",158.0
75,ABE,"Allentown/Bethlehem/Easton, PA",LGA,"New York, NY",34.82
76,ABE,"Allentown/Bethlehem/Easton, PA",LYH,"Lynchburg, VA",48.0
77,ABE,"Allentown/Bethlehem/Easton, PA",MCO,"Orlando, FL",3891.71
78,ABE,"Allentown/Bethlehem/Easton, PA",MDT,"Harrisburg, PA",22.2
79,ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN",1067.53
80,ABE,"Allentown/Bethlehem/Easton, PA",MYR,"Myrtle Beach, SC",774.0
81,ABE,"Allentown/Bethlehem/Easton, PA",OKC,"Oklahoma City, OK",160.0
82,ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL",6683.87
83,ABE,"Allentown/Bethlehem/Easton, PA",ORF,"Norfolk, VA",48.0
84,ABE,"Allentown/Bethlehem/Easton, PA",PBG,"Plattsburgh, NY",29.0
85,ABE,"Allentown/Bethlehem/Easton, PA",PGD,"Punta Gorda, FL",838.13
86,ABE,"Allentown/Bethlehem/Easton, PA",PHF,"Newport News/Williamsburg, VA",46.0
87,ABE,"Allentown/Bethlehem/Easton, PA",PHL,"Philadelphia, PA",581.15
88,ABE,"Allentown/Bethlehem/Easton, PA",PIA,"Peoria, IL",161.0
89,ABE,"Allentown/Bethlehem/Easton, PA",PIE,"St, Petersburg, FL",1540.5
90,ABE,"Allentown/Bethlehem/Easton, PA",PTK,"Pontiac, MI",96.0
91,ABE,"Allentown/Bethlehem/Easton, PA",RDU,"Raleigh/Durham, NC",98.0
92,ABE,"Allentown/Bethlehem/Easton, PA",RSW,"Fort Myers, FL",135.0
93,ABE,"Allentown/Bethlehem/Easton, PA",SCE,"State College, PA",70.0
94,ABE,"Allentown/Bethlehem/Easton, PA",SDF,"Louisville, KY",133.0
95,ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL",2548.91
96,ABE,"Allentown/Bethlehem/Easton, PA",SHV,"Shreveport, LA",153.0
97,ABE,"Allentown/Bethlehem/Easton, PA",SWF,"Newburgh/Poughkeepsie, NY",30.0
98,ABE,"Allentown/Bethlehem/Easton, PA",TVC,"Traverse City, MI",134.0
99,ABE,"Allentown/Bethlehem/Easton, PA",TYS,"Knoxville, TN",82.0
100,ABE,"Allentown/Bethlehem/Easton, PA",UTM,"Tunica, MS",136.0
101,ABI,"Abilene, TX",ADS,"Dallas, TX",40.0
102,ABI,"Abilene, TX",AMA,"Amarillo, TX",42.0
103,ABI,"Abilene, TX",AUS,"Austin, TX",73.0
104,ABI,"Abilene, TX",BNA,"Nashville, TN",105.0
105,ABI,"Abilene, TX",BOI,"Boise, ID",150.0
106,ABI,"Abilene, TX",BUR,"Burbank, CA",162.0
107,ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX",1653.82
108,ABI,"Abilene, TX",ENV,"Wendover, UT",135.0
109,ABI,"Abilene, TX",FOE,"Topeka, KS",69.0
110,ABI,"Abilene, TX",HRL,"Harlingen/San Benito, TX",64.25
111,ABI,"Abilene, TX",IAD,"Washington, DC",325.0
112,ABI,"Abilene, TX",IAH,"Houston, TX",52.0
113,ABI,"Abilene, TX",IFP,"Bullhead City, AZ",125.13
114,ABI,"Abilene, TX",LBB,"Lubbock, TX",1939.43
115,ABI,"Abilene, TX",MAF,"Midland/Odessa, TX",59.0
116,ABI,"Abilene, TX",MSP,"Minneapolis, MN",179.5
117,ABI,"Abilene, TX",PDX,"Portland, OR",197.0
118,ABI,"Abilene, TX",SAT,"San Antonio, TX",48.83
119,ABI,"Abilene, TX",SJT,"San Angelo, TX",22.0
120,ABL,"Ambler, AK",ABL,"Ambler, AK",8.0
121,ABL,"Ambler, AK",BKC,"Buckland, AK",60.0
122,ABL,"Ambler, AK",DCK,"Dahl Creek, AK",22.0
123,ABL,"Ambler, AK",DRG,"Deering, AK",53.0
124,ABL,"Ambler, AK",FAI,"Fairbanks, AK",111.0
125,ABL,"Ambler, AK",IAN,"Kiana, AK",34.19
126,ABL,"Ambler, AK",KVL,"Kivalina, AK",78.25
127,ABL,"Ambler, AK",OBU,"Kobuk, AK",37.05
128,ABL,"Ambler, AK",OME,"Nome, AK",112.0
129,ABL,"Ambler, AK",ORV,"Noorvik, AK",42.23
130,ABL,"Ambler, AK",OTZ,"Kotzebue, AK",300.69
131,ABL,"Ambler, AK",PHO,"Point Hope, AK",86.0
132,ABL,"Ambler, AK",RDB,"Red Dog, AK",76.14
133,ABL,"Ambler, AK",RLU,"Bornite/Ruby Creek, AK",10.0
134,ABL,"Ambler, AK",SHG,"Shungnak, AK",65.63
135,ABL,"Ambler, AK",WLK,"Selawik, AK",39.05
136,ABL,"Ambler, AK",WTK,"Noatak, AK",46.5
137,ABQ,"Albuquerque, NM",ABI,"Abilene, TX",94.33
138,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",100.0
139,ABQ,"Albuquerque, NM",ADS,"Dallas, TX",81.0
140,ABQ,"Albuquerque, NM",AGS,"Augusta, GA",166.0
141,ABQ,"Albuquerque, NM",ALB,"Albany, NY",226.0
142,ABQ,"Albuquerque, NM",ALM,"Alamogordo, NM",2318.5
143,ABQ,"Albuquerque, NM",AMA,"Amarillo, TX",44.0
144,ABQ,"Albuquerque, NM",ATL,"Atlanta, GA",4211.97
145,ABQ,"Albuquerque, NM",AUS,"Austin, TX",130.33
146,ABQ,"Albuquerque, NM",BNA,"Nashville, TN",160.0
147,ABQ,"Albuquerque, NM",BOI,"Boise, ID",102.0
148,ABQ,"Albuquerque, NM",BRO,"Brownsville, TX",132.0
149,ABQ,"Albuquerque, NM",BUR,"Burbank, CA",126.0
150,ABQ,"Albuquerque, NM",BWI,"Baltimore, MD",7184.5
151,ABQ,"Albuquerque, NM",CEZ,"Cortez, CO",134.0
152,ABQ,"Albuquerque, NM",CLL,"College Station/Bryan, TX",87.0
153,ABQ,"Albuquerque, NM",CLT,"Charlotte, NC",184.0
154,ABQ,"Albuquerque, NM",CMH,"Columbus, OH",159.0
155,ABQ,"Albuquerque, NM",CMI,"Champaign/Urbana, IL",137.0
156,ABQ,"Albuquerque, NM",CNM,"Carlsbad, NM",3663.25
157,ABQ,"Albuquerque, NM",COS,"Colorado Springs, CO",97.5
158,ABQ,"Albuquerque, NM",CVN,"Clovis, NM",2266.0
159,ABQ,"Albuquerque, NM",CYS,"Cheyenne, WY",88.0
160,ABQ,"Albuquerque, NM",DAL,"Dallas, TX",6081.29
161,ABQ,"Albuquerque, NM",DEN,"Denver, CO",1688.42
162,ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX",10180.33
163,ABQ,"Albuquerque, NM",DLF,"Del Rio, TX",144.0
164,ABQ,"Albuquerque, NM",DRO,"Durango, CO",1310.21
165,ABQ,"Albuquerque, NM",DSM,"Des Moines, IA",96.0
166,ABQ,"Albuquerque, NM",DTO,"Denton, TX",68.0
167,ABQ,"Albuquerque, NM",DTW,"Detroit, MI",185.0
168,ABQ,"Albuquerque, NM",ECP,"Panama City, FL",184.0
169,ABQ,"Albuquerque, NM",EFD,"Houston, TX",124.0
170,ABQ,"Albuquerque, NM",EGE,"Eagle, CO",132.0
171,ABQ,"Albuquerque, NM",ELP,"El Paso, TX",603.55
172,ABQ,"Albuquerque, NM",ENV,"Wendover, UT",80.0
173,ABQ,"Albuquerque, NM",EWR,"Newark, NJ",220.5
174,ABQ,"Albuquerque, NM",FAT,"Fresno, CA",154.0
175,ABQ,"Albuquerque, NM",FMN,"Farmington, NM",1993.08
176,ABQ,"Albuquerque, NM",FNL,"Fort Collins/Loveland, CO",56.0
177,ABQ,"Albuquerque, NM",FSM,"Fort Smith, AR",89.0
178,ABQ,"Albuquerque, NM",GEG,"Spokane, WA",240.0
179,ABQ,"Albuquerque, NM",GJT,"Grand Junction, CO",129.0
180,ABQ,"Albuquerque, NM",GRR,"Grand Rapids, MI",143.0
181,ABQ,"Albuquerque, NM",GUP,"Gallup, NM",251.67
182,ABQ,"Albuquerque, NM",HOU,"Houston, TX",2990.55
183,ABQ,"Albuquerque, NM",IAD,"Washington, DC",2838.08
184,ABQ,"Albuquerque, NM",IAH,"Houston, TX",4458.2
185,ABQ,"Albuquerque, NM",IFP,"Bullhead City, AZ",68.1
186,ABQ,"Albuquerque, NM",IND,"Indianapolis, IN",152.0
