,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare
0,2011,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1671,215.75
1,2011,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2295,218.02
2,2011,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,208.31
3,2011,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2117,227.89
4,2012,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1704,235.04
5,2012,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,226.73
6,2012,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2437,196.87
7,2012,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2255,203.29
8,2013,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1784,212.29
9,2013,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2477,216.5
10,2013,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2386,229.48
11,2013,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2392,222.41
12,2011,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",227,392,151.95
13,2011,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",227,430,170.7
14,2011,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,381,171.73
15,2011,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,370,165.83
16,2012,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,399,176.71
17,2012,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,438,151.17
18,2012,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,436,136.41
19,2012,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,456,133.28
20,2013,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,486,132.64
21,2013,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,366,204.49
22,2013,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,283,255.88
23,2013,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,290,273.47
24,2011,1,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2302,173.68
25,2011,2,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3069,176.93
26,2011,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3080,170.34
27,2011,4,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2746,193.12
28,2012,1,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2537,174.84
29,2012,2,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3428,165.05
30,2012,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3170,172.4
31,2012,4,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3061,171.69
32,2013,1,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2562,173.66
33,2013,2,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3329,182.42
34,2013,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2884,212.47
35,2013,4,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2931,195.92
36,2011,1,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",732,2128,200.9
37,2011,2,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",732,2378,203.29
